Name,CI,LSR,BSL,HMS,MCC_5,TPR_5,PPV_5,MCC_9,TPR_9,PPV_9
1_00_1_31_8_35_53_01_9_61,1.0,0.9278534499554906,0.9864864864864865,0.9568158623706081,0.9733285267845752,1.0,0.9736842105263158,0.9733285267845752,1.0,0.9736842105263158
1_00_2_65_10_68_37_88_45_07,1.0,0.9899496641464985,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
10_00_1_79_9_26_24_89_96_49,10.0,0.9604484692742229,0.9924869778869779,0.9886024225435842,0.9448189915688975,1.0,0.9024390243902439,0.9713854763119241,1.0,0.9487179487179487
10_00_7_49_4_56_48_53_74_08,10.0,0.9728272865881695,0.9952653562653563,0.9887890933389883,0.963734739535539,0.9864864864864865,0.948051948051948,0.9778641587846615,0.9864864864864865,0.9733333333333334
100_00_4_51_5_21_22_99_1_70,100.0,0.8404650470636508,0.9537569039336367,0.9270189801055375,0.3534739061225672,0.9864864864864865,0.13543599257884972,0.5122622013193139,0.9864864864864865,0.27340823970037453
101_00_0_85_0_38_3_08_19_93,101.0,0.9306176069088662,0.98276509009009,0.9799793863657907,0.5421165600184343,1.0,0.3008130081300813,0.6964318889236596,1.0,0.4900662251655629
102_00_6_47_6_17_2_56_9_35,102.0,0.7447356777537066,0.9203295066911572,0.12088595539162816,0.05095048077780754,0.25675675675675674,0.02457956015523933,-0.0015865819435859699,0.04054054054054054,0.008982035928143712
103_00_0_13_0_92_41_41_10_35,103.0,0.9475011329520268,0.9881616683991684,0.989523727558908,0.6226795386801558,1.0,0.39361702127659576,0.7430236158625575,1.0,0.556390977443609
103_00_0_55_1_45_13_42_0_67,103.0,0.8780318710352062,0.9651294308731808,0.9481087525130952,0.4040428557344465,1.0,0.1712962962962963,0.5573268682307516,0.9864864864864865,0.32158590308370044
104_00_0_00_4_03_32_13_5_55,104.0,0.929699331314324,0.9817580823680824,0.9858772073416414,0.5228602749615494,1.0,0.2803030303030303,0.7036990178281534,1.0,0.5
105_00_1_36_0_00_8_68_4_15,105.0,0.6162063686866226,0.8645010963793982,0.8041600622631421,0.18177735385998914,1.0,0.042165242165242166,0.38984773422114405,0.6891891891891891,0.23076923076923078
106_00_0_00_2_68_29_45_20_98,106.0,0.9299236033336583,0.9814216595099773,0.9659264744970407,0.5116736595404082,0.9864864864864865,0.27238805970149255,0.6846973544199878,0.9864864864864865,0.48026315789473684
106_00_0_45_7_36_30_11_9_13,106.0,0.9775600046919246,0.996851502904774,0.9315881541020955,0.8119024720196328,0.8513513513513513,0.7777777777777778,0.8122502076299903,0.7972972972972973,0.8309859154929577
107_00_1_46_1_03_17_91_2_52,107.0,0.9735053826669556,0.9961105355355355,0.7409759887219767,0.757070970993467,0.6891891891891891,0.8360655737704918,0.7164096011281629,0.6081081081081081,0.8490566037735849
108_00_0_00_1_97_1_80_6_07,108.0,0.6594761822367685,0.8871940614926853,0.08947041774863274,-0.04146097989442998,0.0,0.0,-0.016887076486651085,0.0,0.0
109_00_1_44_4_40_4_14_16_40,109.0,0.9779228080080454,0.9970089434889435,0.9598425102493295,0.8422513045860478,0.9459459459459459,0.7526881720430108,0.8432844107869353,0.9054054054054054,0.788235294117647
109_00_2_45_0_97_30_43_1_85,109.0,0.9466585861608031,0.9877665479115479,0.9826805174926014,0.6113872760512252,1.0,0.37948717948717947,0.7062898907130998,1.0,0.5034013605442177
11_00_4_88_9_02_7_94_27_55,11.0,0.9456695036634986,0.9892649774774774,0.9740305819045888,0.9207497634264666,1.0,0.8604651162790697,0.9362363690212405,0.972972972972973,0.9113924050632911
110_00_0_07_2_83_1_88_34_57,110.0,0.979653306619239,0.9974392865838811,0.8589940092441404,0.8464398282034956,0.8648648648648649,0.8311688311688312,0.8665067629611801,0.8378378378378378,0.8985507246376812
110_00_5_54_0_00_13_69_37_78,110.0,0.8827407614505781,0.9652838446554662,0.9840488234397514,0.3874609572712785,1.0,0.15778251599147122,0.5915340965765097,1.0,0.3557692307692308
111_00_0_00_2_08_4_65_13_14,111.0,0.9011025591863258,0.9775673624517375,0.46366115964669696,0.2778108985837588,0.4864864864864865,0.17061611374407584,0.2524241309987544,0.36486486486486486,0.1875
112_00_4_91_2_09_9_29_28_55,112.0,0.9839431999696164,0.9982679502511361,0.9951805091601743,0.8909965252388536,1.0,0.7956989247311828,0.8958326405271753,0.9324324324324325,0.8625
112_00_5_20_2_60_12_26_13_54,112.0,0.9595315148766785,0.9920042453958383,0.9703901456051456,0.6848914670008102,0.9864864864864865,0.48026315789473684,0.750889519081022,0.9594594594594594,0.5916666666666667
113_00_0_00_0_96_7_64_11_08,113.0,0.8911647668475859,0.9704877074442864,0.8048343375758077,0.36525952037068365,0.8378378378378378,0.16802168021680217,0.4607092367963793,0.7972972972972973,0.2744186046511628
114_00_0_78_2_63_1_32_16_68,114.0,0.9632040060717321,0.9931708695652174,0.854757114664031,0.6585338492082631,0.8108108108108109,0.5405405405405406,0.7000725820732057,0.7837837837837838,0.6304347826086957
115_00_0_00_0_87_2_88_2_07,115.0,0.8454253898346624,0.9631659832246039,0.007387828493989224,-0.010333458432257121,0.013513513513513514,0.003484320557491289,-0.014476145391262846,0.0,0.0
115_00_2_38_3_32_1_36_5_93,115.0,0.8208148285276835,0.9465388630009319,0.8122716896764088,0.29675696572836147,0.9324324324324325,0.10283159463487332,0.37950525743746133,0.8108108108108109,0.18633540372670807
116_00_0_00_0_30_13_40_22_52,116.0,0.982592840379259,0.998075975975976,0.9348716466465692,0.8602848823043263,0.8378378378378378,0.8857142857142857,0.8429804122402523,0.7972972972972973,0.8939393939393939
116_00_0_00_6_30_15_40_2_82,116.0,0.8172732823735273,0.9487345345345345,0.1105690871776085,0.05222126356778535,0.1891891891891892,0.027944111776447105,0.06572238374855126,0.16216216216216217,0.04081632653061224
116_00_2_77_2_71_13_53_43_39,116.0,0.9048505230347296,0.9729730422730423,0.9886384053226676,0.4213179490259914,1.0,0.18453865336658354,0.630095421249877,1.0,0.40217391304347827
