Name,CI,LSR,BSL,HMS,MCC_5,TPR_5,PPV_5,MCC_9,TPR_9,PPV_9
86_00_2_30_1_62_17_93_3_67,86.0,0.9085714834577964,0.9786027958993476,0.4405503135736253,0.23391980568768866,0.28378378378378377,0.21,0.2296468317144531,0.12162162162162163,0.45
172_00_1_86_0_20_10_34_11_58,172.0,0.935829849111056,0.986496234963287,0.4024985749261607,0.08968657725013955,0.12162162162162163,0.07627118644067797,-0.0009531160645787791,0.0,0.0
178_00_1_74_2_26_7_22_3_34,178.0,0.9298070479055263,0.9858494337913333,0.05068514038039351,0.01829090263080823,0.02702702702702703,0.02197802197802198,0.0,0.0,0.0
116_00_0_00_6_30_15_40_2_82,116.0,0.9235795826170341,0.9839706167706168,0.25486445855843975,0.0551155935544766,0.05405405405405406,0.07142857142857142,0.0,0.0,0.0
181_00_2_58_1_08_0_99_6_73,181.0,0.9261623368574626,0.9846534006534007,0.06083431884087542,0.019261751254123164,0.02702702702702703,0.023255813953488372,-0.0012811608435658905,0.0,0.0
156_00_0_00_1_06_3_21_23_51,156.0,0.928569081522657,0.9850456877259425,0.2767187758014512,0.17589662719973492,0.24324324324324326,0.13740458015267176,0.23320364744745142,0.0945945945945946,0.5833333333333334
137_00_0_00_3_02_15_97_20_50,137.0,0.9290784455535858,0.9854652565609088,0.5357984779996381,0.3584861278934838,0.44594594594594594,0.2972972972972973,0.3580148967966269,0.22972972972972974,0.5666666666666667
106_00_0_00_2_68_29_45_20_98,106.0,0.9307313520538849,0.9863375599898965,0.6134393820346566,0.4916390831355095,0.5540540540540541,0.44565217391304346,0.5475271879166823,0.3783783783783784,0.8
68_00_3_45_2_23_7_03_37_62,68.0,0.8847806914747691,0.9711987465726596,0.3309844478390992,0.18799598069261092,0.28378378378378377,0.14685314685314685,0.04808581550705127,0.02702702702702703,0.1111111111111111
199_00_1_06_1_35_6_62_12_91,199.0,0.9340380271431571,0.9859662702702703,0.2825856798025552,0.041769401482275245,0.06756756756756757,0.034722222222222224,-0.0017486220398214426,0.0,0.0
134_00_0_40_1_36_8_83_20_14,134.0,0.9323361509991678,0.9851211211211212,0.5562328484030437,0.27876100833488443,0.3918918918918919,0.20863309352517986,0.24517048875778724,0.08108108108108109,0.75
47_00_0_00_7_39_33_49_9_44,47.0,0.8644102576562842,0.9658396396396396,0.47366658564631814,0.35118605713661843,0.5135135135135135,0.26573426573426573,0.3668491972660446,0.2972972972972973,0.4782608695652174
57_00_0_53_1_94_18_61_12_64,57.0,0.873910150905087,0.9704559179869525,0.38929753413342727,0.3291091743579421,0.3918918918918919,0.29896907216494845,0.33140360890897136,0.22972972972972974,0.5
162_00_1_63_0_25_15_08_20_33,162.0,0.9413019514757335,0.9885766207925717,0.7040737889730417,0.5146222842166529,0.7432432432432432,0.3618421052631579,0.6085962548298376,0.4864864864864865,0.7659574468085106
37_00_14_80_2_89_15_49_34_73,37.0,0.830883535948557,0.9566714082503556,0.4058371531847824,0.29799586265640543,0.40540540540540543,0.2542372881355932,0.28042767095933785,0.21621621621621623,0.4
184_00_0_58_0_01_3_94_0_09,184.0,0.9261744680373424,0.9842083856829803,0.1064447010741777,0.04740362070634962,0.08108108108108109,0.037267080745341616,0.0,0.0,0.0
191_00_3_15_0_00_15_23_4_33,191.0,0.9353002846391959,0.9869905405405406,0.1485250657525251,0.006959721358913037,0.013513513513513514,0.011627906976744186,0.0,0.0,0.0
92_00_2_71_3_35_19_40_30_55,92.0,0.9150716947403681,0.9808118570183086,0.5988337711171312,0.3851018273602049,0.5135135135135135,0.30158730158730157,0.3717184155687224,0.28378378378378377,0.5
