#id             x        y        V       eV       UB     eUB        BV      eBV       VI      eVI       JH      eJH       HK      eHK    m_ini
103       1220.98  1062.79    20.84     0.21     0.89     0.21     1.46     0.21     1.52     0.21     0.76     0.21    -0.02     0.21   0.8619
1014      1200.78   938.09    20.87     0.20     0.28     0.20     1.48     0.20     1.85     0.20     0.60     0.20     0.20     0.20   0.8619
1015       978.93   930.42    20.46     0.22     0.36     0.22     1.54     0.22     1.83     0.22     0.86     0.22    -0.01     0.22   0.9063
1019      1020.10   892.88    20.67     0.20     0.32     0.20     1.19     0.20     1.83     0.20     0.56     0.20    -0.16     0.20   0.8619
1020      1032.26  1056.50    20.52     0.17     0.81     0.17     1.54     0.17     1.79     0.17     0.58     0.17     0.39     0.17   0.8619
1023      1035.62  1185.69    20.44     0.18     0.73     0.18     1.26     0.18     2.15     0.18     0.67     0.18     0.30     0.18   0.9631
126       1010.20  1128.07    20.70     0.21     0.35     0.21     1.30     0.21     1.49     0.21     0.49     0.21     0.22     0.21   1.0818
1027      1163.97   987.42    19.93     0.13     0.48     0.13     1.44     0.13     1.66     0.13     0.61     0.13    -0.14     0.13   1.0611
128       1027.74   946.58    20.44     0.20     0.76     0.20     0.94     0.20     1.85     0.20     0.78     0.20     0.21     0.20   1.1052
130       1173.27  1067.02    20.62     0.27     0.34     0.27     1.24     0.27     1.78     0.27     0.43     0.27     0.54     0.27   1.1385
131       1028.57  1031.59    20.27     0.15     0.62     0.15     1.20     0.15     1.63     0.15     0.56     0.15     0.53     0.15   1.1503
1032      1245.55   941.49    20.14     0.15     0.79     0.15     1.35     0.15     1.51     0.15     0.37     0.15     0.40     0.15   0.9063
133       1133.75   962.17    20.10     0.15     0.49     0.15     1.47     0.15     1.54     0.15     0.60     0.15     0.28     0.15   1.1824
134        960.92  1041.32    20.08     0.13     0.66     0.13     0.96     0.13     1.50     0.13     0.51     0.13     0.24     0.13   1.1879
135       1128.66   878.10    20.18     0.20     0.71     0.20     0.99     0.20     1.56     0.20     0.44     0.20     0.37     0.20   1.2002
1036      1027.97   987.72    19.65     0.13     0.72     0.13     1.23     0.13     1.79     0.13     0.46     0.13     0.24     0.13   1.0161
137        897.19  1051.49    19.74     0.17     0.42     0.17     0.88     0.17     1.42     0.17     0.22     0.17     0.15     0.17   1.2305
138        977.53  1030.88    19.83     0.16     0.81     0.16     0.93     0.16     1.32     0.16     0.34     0.16     0.24     0.16   1.2555
139       1042.25   975.57    19.77     0.14     0.71     0.14     1.10     0.14     1.53     0.14     0.18     0.14     0.21     0.14   1.2616
1040      1004.32  1005.37    19.38     0.12     0.66     0.12     1.24     0.12     1.44     0.12     0.33     0.12     0.25     0.12   1.1824
1041      1015.96  1016.64    19.33     0.14     0.75     0.14     1.13     0.14     1.35     0.14     0.34     0.14     0.21     0.14   1.0161
142       1005.30  1024.16    19.84     0.14     0.57     0.14     1.08     0.14     1.64     0.14     0.38     0.14     0.16     0.14   1.3136
1043      1087.91   989.60    18.99     0.12     0.77     0.12     0.94     0.12     1.34     0.12     0.14     0.12     0.26     0.12   1.2305
1044      1076.64  1177.58    19.03     0.13     0.66     0.13     1.23     0.13     1.63     0.13     0.10     0.13     0.14     0.13   1.2141
145        947.97  1036.98    19.39     0.12     0.72     0.12     1.23     0.12     1.43     0.12     0.42     0.12     0.16     0.12   1.3802
146        883.91   995.04    19.18     0.12     0.91     0.12     1.05     0.12     1.43     0.12     0.52     0.12     0.03     0.12   1.4021
1047      1001.27  1066.00    19.09     0.11     0.60     0.11     1.19     0.11     1.46     0.11     0.45     0.11     0.20     0.11   1.0611
1048      1028.95  1181.76    18.99     0.14     0.80     0.14     1.01     0.14     1.62     0.14     0.22     0.14     0.29     0.14   1.0818
149       1057.88  1025.47    19.26     0.11     0.75     0.11     1.07     0.11     1.38     0.11     0.38     0.11     0.07     0.11   1.4605
1050      1086.70   982.56    18.75     0.13     0.81     0.13     1.13     0.13     1.31     0.13     0.44     0.13     0.26     0.13   1.2877
1051      1018.38  1049.34    18.50     0.11     0.70     0.11     1.08     0.11     1.31     0.11     0.36     0.11     0.12     0.11   1.2002
152       1109.73   997.41    19.06     0.09     0.76     0.09     1.04     0.09     1.35     0.09     0.27     0.09     0.11     0.09   1.5481
