ID x y V BV pmRA pmDE
103 1220.98 1062.79 20.84 1.46 4.692354814929236 -7.062998099405426
1014 1200.78 938.09 20.87 1.48 5.373899217988537 -6.63507748112361
1015 978.93 930.42 20.46 1.54 4.2741362819973086 -6.744642414010963
1019 1020.1 892.88 20.67 1.19 4.654106730693871 -6.281678548043609
1020 1032.26 1056.5 20.52 1.54 4.917486609930419 -6.24256249101076
1023 1035.62 1185.69 20.44 1.26 4.6797495040168 -6.759435852367924
126 1010.2 1128.07 20.7 1.3 5.719705975416114 -6.969432403738402
1027 1163.97 987.42 19.93 1.44 4.642466020412976 -7.129043578703355
128 1027.74 946.58 20.44 0.94 5.041002603309094 -6.523022849697822
130 1173.27 1067.02 20.62 1.24 4.772001852803316 -6.575651839876426
131 1028.57 1031.59 20.27 1.2 4.763421545331554 -6.736539808645651
1032 1245.55 941.49 20.14 1.35 5.012511550494328 -7.132572237495559
133 1133.75 962.17 20.1 1.47 4.737443837728191 -7.905229734428739
134 960.92 1041.32 20.08 0.96 4.337974638778139 -7.051100189689082
135 1128.66 878.1 20.18 0.99 5.100238736184058 -7.879664593567618
1036 1027.97 987.72 19.65 1.23 4.831884306324895 -7.251962715450774
137 897.19 1051.49 19.74 0.88 4.378671571857261 -6.680515249456308
138 977.53 1030.88 19.83 0.93 4.168283953978194 -7.353727166288152
139 1042.25 975.57 19.77 1.1 4.903110769695454 -7.184909964642682
1040 1004.32 1005.37 19.38 1.24 4.555602069486622 -7.416932211439245
1041 1015.96 1016.64 19.33 1.13 4.90207009466443 -7.349185513882918
142 1005.3 1024.16 19.84 1.08 5.648971793088381 -6.98445777955425
1043 1087.91 989.6 18.99 0.94 4.573525359773979 -6.63129539727415
1044 1076.64 1177.58 19.03 1.23 5.137172577423387 -7.478150561411901
145 947.97 1036.98 19.39 1.23 4.748860092328594 -7.462920024535397
146 883.91 995.04 19.18 1.05 4.941642892648014 -7.008139136878104
1047 1001.27 1066.0 19.09 1.19 5.034105080284831 -6.826877859574149
1048 1028.95 1181.76 18.99 1.01 4.257265762761175 -7.28751581809994
149 1057.88 1025.47 19.26 1.07 4.551854044607972 -7.526547147833487
1050 1086.7 982.56 18.75 1.13 4.7159062917998265 -6.473278730575484
1051 1018.38 1049.34 18.5 1.08 4.522689939962093 -7.568433668256978
152 1109.73 997.41 19.06 1.04 5.1132870411410405 -7.238258423686144
153 1051.99 1096.73 19.04 0.97 4.699549777174374 -7.0565686290188445
154 1058.68 901.9 18.86 1.06 4.540627182107233 -6.62998497173851
1055 953.49 1029.34 18.36 0.83 5.571878245382827 -7.6026388975961225
1056 1104.45 1175.72 18.16 0.88 4.678706122990828 -6.776733803478383
157 986.51 1158.36 18.81 0.83 4.586210134766612 -7.927293507701059
158 988.26 973.51 18.67 0.8 4.945596610966424 -6.901569768423135
1059 994.86 982.05 18.36 1.0 4.315638516319272 -7.6576909332046394
160 1100.02 1208.0 18.63 0.88 3.730880368768145 -7.826686635661596
161 1126.12 1131.83 18.57 1.04 4.612474940431484 -7.927601571412138
162 1131.8 907.23 18.47 0.91 4.736875968286347 -7.382806711629266
1063 840.3 1001.69 17.73 0.95 5.3323069715786895 -7.714783449195114
1064 1031.65 1013.54 17.94 0.99 4.122288916705262 -7.6475274049281765
1065 974.98 882.78 18.02 0.82 4.394981681979803 -6.157734632794706
166 948.93 935.87 18.31 0.84 5.455494312505098 -6.9367022963434355
167 1047.74 1073.49 18.31 0.9 4.511595468587261 -7.253775239541604
168 1008.37 1142.7 18.07 0.84 5.5322786270307995 -6.924479152699135
169 924.06 1205.07 18.18 0.8 5.2101870583321315 -7.85435376446203
1070 986.63 1039.26 17.6 0.84 4.700975620603643 -7.0074104128585235
1071 1001.51 945.11 17.55 0.83 4.206860640721046 -6.668817165107833
1072 873.23 1075.01 17.32 0.79 4.825212394787339 -7.804428288497671
1073 1010.39 876.1 17.14 0.84 4.549777987175355 -6.48058814467031
174 1095.97 956.81 17.73 0.82 4.316721867448088 -6.514916116412819
175 1148.21 1064.51 17.79 0.88 4.256650146718535 -8.134254633027409
176 881.0 1027.83 17.6 0.74 4.215339356747042 -6.677590940764157
1077 1023.47 1064.12 16.8 0.67 4.690771168444805 -7.226080217375017
1078 961.03 1029.47 16.95 0.78 4.633916127367641 -7.342321584016728
1079 1008.62 951.29 16.77 0.82 4.455280080547897 -6.4987574650791124
1080 992.47 975.39 16.73 0.7 4.158860936721252 -7.327095523924013
1081 1067.23 1115.15 16.57 0.76 4.956217508925834 -7.265867476868584
182 1099.04 945.62 16.8 0.64 4.421825766906251 -7.530891730322543
1083 1129.56 1013.61 16.28 0.72 4.717837545922735 -8.010787336735348
184 985.38 1095.75 16.59 0.75 5.5544438593229755 -7.192115967827153
1085 885.92 944.0 15.92 0.69 4.357629345483519 -6.958927721279377
1086 1186.6 1048.32 15.52 0.69 4.685899584044963 -6.776261529717434
1087 979.6 1016.8 15.57 0.78 4.7850692232393905 -7.179666634940516
188 1197.13 924.23 15.71 0.73 5.27023580482369 -7.031044211124745
189 968.43 1061.53 15.56 0.72 4.219024753951482 -7.622871468461319
190 1118.89 1062.14 15.3 0.64 4.73722859510206 -7.232259208388355
1091 1089.28 1139.2 14.17 0.62 4.704791133195373 -6.634512819245143
1092 983.61 955.7 13.54 0.69 4.509858918459886 -7.357627238479695
193 969.38 1101.33 12.87 0.63 4.644554640106084 -6.57772580780098
194 1003.41 1091.6 13.85 0.66 5.067616538241961 -7.2559390275127
20 510.38035642227464 1671.7577968447672 17.632335945886982 1.0523949206633214 3.4500593096729686 -9.17518765594449
21 191.80105724082637 455.3546506804405 17.83898158507104 3.190717558588648 8.52235205426672 -2.226914818570702
22 866.9889547410455 1699.3426552871324 20.267788939598436 0.14132643296746192 1.4446399245878827 -3.9574845899200026
23 1327.1236453975055 542.681383057927 17.812909108165286 1.031379054722969 4.922680339797901 -3.951024260597607
24 942.014387147419 387.85929068077417 18.73102356384145 0.29017693974025155 4.474410234667657 -5.28312654788805
25 701.9595475014378 1086.1217267453453 18.817988516307736 0.02990587375517738 4.247418801123961 -3.902161912304915
26 578.1365444124119 1838.9193213305366 19.13049166318502 1.6722598056765905 3.9955776446492823 -4.63095534416357
27 1706.7379326370603 1695.0022369632197 16.894818898996363 1.003537418237804 1.600176078390266 -5.647956708742145
28 1624.3202361980727 1323.9864232791751 18.066483279825693 1.3209871924264256 4.482949435389187 -2.855388992674313
29 1583.3451112601135 1815.9250364436116 19.45404161551044 0.7462047608802457 3.3656515271238883 -4.986761414368831
210 427.94393021646306 1756.1858755489498 19.771873008390628 0.5826540900664683 5.311256507673717 -6.402811633067227
211 1777.1814068265498 1446.9947241247148 19.77727671393573 0.6818562774392084 2.366597513441235 -7.447253592020546
212 1509.7784634059274 1358.0596343787665 18.478785720877895 1.4339715441455574 5.33879283651821 -4.117874994305826
